"","Light.Type","Standardized.Moon","Standardized.Mean.Temp","Standardized.Mean.Humidity","Total"
"113","No",0.884315907,0.320512821,0.742857143,7
"114","A",0.998887653,0.480769231,0.264285714,29
"115","B",0.998887653,0.480769231,0.264285714,27
"116","C",0.998887653,0.480769231,0.264285714,16
"117","LED",0.998887653,0.480769231,0.264285714,17
"118","CFL",0.998887653,0.480769231,0.264285714,34
"119","No",0.998887653,0.480769231,0.264285714,5
"120","A",0.994438265,0.349358974,0.392857143,123
"121","B",0.994438265,0.349358974,0.392857143,87
"122","C",0.994438265,0.349358974,0.392857143,54
"123","LED",0.994438265,0.349358974,0.392857143,27
"124","CFL",0.994438265,0.349358974,0.392857143,121
"125","No",0.994438265,0.349358974,0.392857143,1
"126","A",0.9621802,0.378205128,0.6,7
"127","B",0.9621802,0.378205128,0.6,9
"128","C",0.9621802,0.378205128,0.6,9
"129","LED",0.9621802,0.378205128,0.6,3
"130","CFL",0.9621802,0.378205128,0.6,14
"131","No",0.9621802,0.378205128,0.6,3
"132","A",0.906562848,0.435897436,0.728571429,80
"133","B",0.906562848,0.435897436,0.728571429,25
"134","C",0.906562848,0.435897436,0.728571429,39
"135","LED",0.906562848,0.435897436,0.728571429,33
"136","CFL",0.906562848,0.435897436,0.728571429,36
"137","No",0.906562848,0.435897436,0.728571429,5
"138","A",0.820912125,0,0.75,20
"139","B",0.820912125,0,0.75,2
"140","C",0.820912125,0,0.75,7
"141","LED",0.820912125,0,0.75,13
"142","CFL",0.820912125,0,0.75,43
"143","No",0.820912125,0,0.75,0
"144","A",0.61512792,0.461538462,0.792857143,31
"145","B",0.61512792,0.461538462,0.792857143,20
"146","C",0.61512792,0.461538462,0.792857143,31
"147","LED",0.61512792,0.461538462,0.792857143,26
"148","CFL",0.61512792,0.461538462,0.792857143,16
"149","No",0.61512792,0.461538462,0.792857143,12
"150","A",0.49054505,0.298076923,0.778571429,27
"151","B",0.49054505,0.298076923,0.778571429,18
"152","C",0.49054505,0.298076923,0.778571429,34
"153","LED",0.49054505,0.298076923,0.778571429,26
"154","CFL",0.49054505,0.298076923,0.778571429,38
"155","No",0.49054505,0.298076923,0.778571429,2
"156","A",0.351501669,0.157051282,0.464285714,5
"157","B",0.351501669,0.157051282,0.464285714,3
"158","C",0.351501669,0.157051282,0.464285714,6
"159","LED",0.351501669,0.157051282,0.464285714,12
"160","CFL",0.351501669,0.157051282,0.464285714,9
"161","No",0.351501669,0.157051282,0.464285714,1
"162","A",0.226918799,0.304487179,0.678571429,10
"163","B",0.226918799,0.304487179,0.678571429,10
"164","C",0.226918799,0.304487179,0.678571429,12
"165","LED",0.226918799,0.304487179,0.678571429,30
"166","CFL",0.226918799,0.304487179,0.678571429,21
"167","No",0.226918799,0.304487179,0.678571429,5
"168","A",0.327030033,0.134615385,0.742857143,1
"169","B",0.327030033,0.134615385,0.742857143,3
"170","C",0.327030033,0.134615385,0.742857143,3
"171","LED",0.327030033,0.134615385,0.742857143,13
"172","CFL",0.327030033,0.134615385,0.742857143,12
"173","No",0.327030033,0.134615385,0.742857143,4
"174","A",0.537263626,0.016025641,0.585714286,0
"175","B",0.537263626,0.016025641,0.585714286,0
"176","C",0.537263626,0.016025641,0.585714286,0
"177","LED",0.537263626,0.016025641,0.585714286,1
"178","CFL",0.537263626,0.016025641,0.585714286,1
"179","No",0.537263626,0.016025641,0.585714286,4
"180","A",0.963292547,0.323717949,0.092857143,172
"181","B",0.963292547,0.323717949,0.092857143,101
"182","C",0.963292547,0.323717949,0.092857143,46
"183","LED",0.963292547,0.323717949,0.092857143,199
"184","No",0.963292547,0.323717949,0.092857143,12
"185","A",1,0.993589744,0,48
"186","B",1,0.993589744,0,38
"187","C",1,0.993589744,0,24
"188","LED",1,0.993589744,0,97
"189","CFL",1,0.993589744,0,140
"190","No",1,0.993589744,0,26
